Participant Number,Pre/Post/Intervention,Student/Counselor,Modality,Sampling Rate,Start Time,End Time,Duration,Gender,Extra Info,Mean,Median,Mode,Standard Deviation,Normalized Mean,Normalized Median,Normalized Mode,Normalized Standard Deviation
08,Pre,Student,Left,4,19:38:32,19:46:18,00:07:46,Males,,0.084,0.095,"[(0.122, 129)]",0.042,0.164,0.187,"[(0.24, 129)]",0.082
08,Pre,Student,Right,8,19:38:32,19:46:18,00:07:46,Males,,0.068,0.083,"[(0.092, 209)]",0.04,0.092,0.112,"[(0.124, 209)]",0.055
08,Post,Counselor,Left,,,,,,,,,,,,,,
08,Post,Counselor,Right,8,21:45:31,21:52:28,00:06:57,Males,Vivek,0.219,0.072,"[(0.0, 64)]",0.287,0.197,0.065,"[(0.0, 64)]",0.258
08,Post,Student,Left,4,21:45:31,21:52:28,00:06:57,Males,Vivek,0.055,0.06,"[(0.082, 159)]",0.023,0.652,0.706,"[(0.965, 159)]",0.267
08,Post,Student,Right,8,21:45:31,21:52:28,00:06:57,Males,Vivek,0.03,0.037,"[(0.041, 401)]",0.017,0.101,0.123,"[(0.136, 401)]",0.055
08,Intervention,Student,Left,,,,,,,,,,,,,,
08,Intervention,Student,Right,,,,,,,,,,,,,,
09,Pre,Counselor,Left,8,20:13:16,20:19:23,00:06:07,Males,,0.047,0.045,"[(0.039, 65)]",0.027,0.38,0.363,"[(0.315, 65)]",0.218
09,Pre,Counselor,Right,8,20:13:16,20:19:23,00:06:07,Males,,0.017,0.006,"[(0.0, 82)]",0.022,0.287,0.1,"[(0.0, 82)]",0.367
09,Pre,Student,Left,4,20:13:16,20:19:23,00:06:07,Males,,3.28,3.108,"[(5.88, 22)]",2.356,0.518,0.491,"[(0.928, 22)]",0.372
09,Pre,Student,Right,8,20:13:16,20:19:23,00:06:07,Males,,5.141,5.522,"[(0.0, 190)]",2.096,0.617,0.663,"[(0.0, 200)]",0.252
09,Post,Counselor,Left,8,,,,Males,,1.245,1.354,"[(1.075, 83)]",0.309,0.727,0.79,"[(0.628, 83)]",0.18
09,Post,Counselor,Right,,,,,,,,,,,,,,
09,Post,Student,Left,,,,,,,,,,,,,,
09,Post,Student,Right,,,,,,,,,,,,,,
09,Intervention,Student,Left,4,14:59:50,15:16:14,00:16:24,,,0.515,0.329,"[(0.332, 40)]",0.392,0.253,0.162,"[(0.163, 40)]",0.193
09,Intervention,Student,Right,8,14:59:50,15:16:14,00:16:24,,,1.152,0.857,"[(0.396, 121)]",0.73,0.349,0.26,"[(0.12, 121)]",0.222
10,Pre,Counselor,Left,8,20:29:38,20:38:22,00:08:44,Males,,0.046,0.054,"[(0.054, 267)]",0.016,0.716,0.844,"[(0.844, 267)]",0.252
10,Pre,Counselor,Right,8,20:29:38,20:38:22,00:08:44,Males,,0.029,0.034,"[(0.0, 68)]",0.026,0.341,0.395,"[(0.0, 68)]",0.306
10,Pre,Student,Left,4,20:29:38,20:38:22,00:08:44,Males,,0.1,0.104,"[(0.097, 76)]",0.03,0.646,0.675,"[(0.63, 76)]",0.192
